id,sentence_1,sentence_2,sentence_3,sentence_4
1,An old man studied a strange machine at the train station.,The child fixed an ancient scroll in the future.,A stranger built a small village under the full moon.,The cat watched a broken mirror inside the library.
2,The teacher dreamed of a time capsule before sunrise.,A doctor destroyed a hidden door in the forest.,The child analyzed a broken mirror under the full moon.,The musician analyzed a beautiful painting in the future.
3,The bird studied a beautiful painting during the festival.,The traveler destroyed a small village during the festival.,The musician built a lost civilization during the festival.,A programmer discovered an ancient scroll in the future.
4,A doctor wrote a time capsule in the forest.,The student created a secret garden as the clock struck midnight.,An artist painted a small village on a rainy day.,The robot analyzed a new planet while the crowd cheered.
5,A stranger imagined a powerful device under the full moon.,The teacher painted a strange machine in the forest.,The teacher discovered a lost civilization in the future.,An old man wrote a powerful device in the forest.
6,A doctor wrote a mysterious song beneath the mountains.,A young boy analyzed a powerful device in the forest.,The cat followed a time capsule before sunrise.,A scientist painted a mysterious song in the forest.
7,A stranger dreamed of a secret garden in the future.,A programmer watched a small village under the full moon.,A scientist fixed a broken mirror near the river.,An artist wrote a secret garden under the full moon.
8,The traveler wrote a small village before sunrise.,A programmer built a lost civilization inside the library.,An artist painted a mysterious song inside the library.,The student built a secret garden inside the library.
9,The musician painted a small village near the river.,The traveler watched a mysterious song in the future.,A stranger watched an ancient scroll near the river.,A scientist wrote a broken mirror near the river.
10,The child studied a powerful device inside the library.,A young boy built a small village in the future.,A doctor painted a secret garden before sunrise.,An artist watched a secret garden at the train station.
11,A programmer watched a time capsule in the forest.,The musician found a secret garden inside the library.,The bird wrote a strange machine beneath the mountains.,The cat discovered a broken mirror in the future.
12,A doctor built a mysterious song before sunrise.,An artist studied a time capsule inside the library.,The teacher wrote a time capsule before sunrise.,The cat forgot a strange machine near the river.
13,A doctor studied an ancient scroll while the crowd cheered.,An artist analyzed a time capsule before sunrise.,The bird studied a new planet in the forest.,The musician watched an ancient scroll as the clock struck midnight.
14,The robot watched a time capsule on a rainy day.,A programmer found an ancient scroll in the future.,The traveler fixed a hidden door beneath the mountains.,An old man discovered a broken mirror in the future.
15,The child analyzed a time capsule as the clock struck midnight.,An artist wrote a broken mirror under the full moon.,A stranger lost an ancient scroll as the clock struck midnight.,The teacher painted a secret garden before sunrise.
16,The bird discovered a hidden door before sunrise.,A scientist created an ancient scroll during the festival.,A young boy built a lost civilization during the festival.,The child destroyed a small village inside the library.
17,A programmer fixed a powerful device on a rainy day.,An old man dreamed of a new planet while the crowd cheered.,The teacher destroyed a lost civilization at the train station.,The child built a strange machine beneath the mountains.
18,A stranger fixed a strange machine during the festival.,A stranger fixed a beautiful painting on a rainy day.,The traveler painted a strange machine under the full moon.,The teacher followed a small village while the crowd cheered.
19,The robot painted a beautiful painting during the festival.,A stranger lost a beautiful painting in the forest.,The bird watched a mysterious song near the river.,The traveler forgot a strange machine during the festival.
20,The child imagined a mysterious song in the forest.,A stranger forgot a new planet under the full moon.,The teacher imagined a beautiful painting in the future.,The cat followed a lost civilization on a rainy day.
21,A young boy watched a new planet under the full moon.,A scientist analyzed a small village in the future.,The musician forgot a secret garden beneath the mountains.,An artist followed a strange machine on a rainy day.
22,An old man imagined a powerful device while the crowd cheered.,An old man created a small village in the forest.,A scientist lost a powerful device near the river.,The robot destroyed a strange machine during the festival.
23,An old man analyzed a secret garden at the train station.,A stranger studied a hidden door as the clock struck midnight.,The cat painted a lost civilization before sunrise.,The traveler watched a broken mirror inside the library.
24,An artist imagined a lost civilization inside the library.,The musician created an ancient scroll near the river.,The cat studied a lost civilization in the future.,The musician followed a powerful device under the full moon.
25,The robot discovered a powerful device at the train station.,A young boy built a powerful device under the full moon.,The robot imagined a hidden door during the festival.,The traveler created a new planet as the clock struck midnight.
